Timestamp,Device,Type,X,Y,Z
1741831524.2881448,Wrist,A,0.0166015625,0.015625,1.00634765625
1741831524.2951496,Wrist,A,0.01611328125,0.0166015625,1.0107421875
1741831524.3031268,Wrist,A,0.015625,0.01708984375,1.00439453125
1741831524.3185494,Wrist,A,0.01611328125,0.015625,1.005859375
1741831524.3255491,Wrist,A,0.0166015625,0.01708984375,1.01025390625
1741831524.3331206,Wrist,A,0.01708984375,0.017578125,1.0068359375
1741831524.347834,Wrist,A,0.01513671875,0.01708984375,1.00634765625
1741831524.3550603,Wrist,A,0.0166015625,0.01611328125,1.00732421875
1741831524.364061,Wrist,A,0.0166015625,0.01611328125,1.0078125
1741831524.377826,Wrist,A,0.015625,0.017578125,1.00634765625
1741831524.3853073,Wrist,A,0.015625,0.015625,1.00439453125
1741831524.393402,Wrist,A,0.01611328125,0.015625,1.00634765625
1741831524.408276,Wrist,A,0.01708984375,0.01708984375,1.00439453125
1741831524.415294,Wrist,A,0.01611328125,0.0166015625,1.00830078125
1741831524.423226,Wrist,A,0.01416015625,0.01708984375,1.0068359375
1741831524.4387906,Wrist,A,0.01513671875,0.01611328125,1.00634765625
1741831524.445565,Wrist,A,0.01513671875,0.0166015625,1.00537109375
1741831524.4610174,Wrist,A,0.015625,0.0166015625,1.0048828125
1741831524.4681776,Wrist,A,0.01611328125,0.017578125,1.0068359375
1741831524.4762094,Wrist,A,0.01513671875,0.015625,1.00732421875
1741831524.4909914,Wrist,A,0.0166015625,0.0166015625,1.00634765625
1741831524.4989884,Wrist,A,0.01611328125,0.0166015625,1.00341796875
1741831524.5057442,Wrist,A,0.01611328125,0.017578125,1.0068359375
1741831524.52075,Wrist,A,0.0166015625,0.0185546875,1.0048828125
1741831524.528056,Wrist,A,0.01806640625,0.0166015625,1.0078125
1741831524.5350997,Wrist,A,0.0166015625,0.01611328125,1.00927734375
1741831524.5505905,Wrist,A,0.0166015625,0.017578125,1.0078125
1741831524.5575926,Wrist,A,0.01708984375,0.0166015625,1.0048828125
1741831524.5657334,Wrist,A,0.0185546875,0.01513671875,1.0068359375
1741831524.580662,Wrist,A,0.01708984375,0.01611328125,1.0068359375
1741831524.5882125,Wrist,A,0.015625,0.0166015625,1.005859375
1741831524.595332,Wrist,A,0.0166015625,0.01416015625,1.00634765625
1741831524.609919,Wrist,A,0.01708984375,0.01904296875,1.00390625
1741831524.617933,Wrist,A,0.01708984375,0.0185546875,1.00439453125
1741831524.62529,Wrist,A,0.01611328125,0.01806640625,1.00390625
1741831524.6402714,Wrist,A,0.015625,0.0185546875,1.0048828125
1741831524.6477008,Wrist,A,0.015625,0.0166015625,1.00537109375
1741831524.6549723,Wrist,A,0.01708984375,0.02099609375,1.005859375
1741831524.670077,Wrist,A,0.015625,0.017578125,1.00634765625
1741831524.6780827,Wrist,A,0.015625,0.01611328125,1.00390625
1741831524.6853914,Wrist,A,0.0166015625,0.0166015625,1.00634765625
1741831524.7006037,Wrist,A,0.01416015625,0.01708984375,1.005859375
1741831524.7077463,Wrist,A,0.015625,0.01611328125,1.00634765625
1741831524.7157423,Wrist,A,0.01611328125,0.015625,1.00537109375
1741831524.73073,Wrist,A,0.01611328125,0.0166015625,1.00732421875
1741831524.7380867,Wrist,A,0.01806640625,0.015625,1.00732421875
1741831524.7451422,Wrist,A,0.01611328125,0.0166015625,1.00732421875
1741831524.7607777,Wrist,A,0.01513671875,0.017578125,1.00537109375
1741831524.7678618,Wrist,A,0.015625,0.0185546875,1.00390625
1741831524.775052,Wrist,A,0.0166015625,0.01806640625,1.0048828125
1741831524.790452,Wrist,A,0.01611328125,0.0166015625,1.00732421875
1741831524.797457,Wrist,A,0.01708984375,0.01708984375,1.00634765625
1741831524.820459,Wrist,A,0.017578125,0.01708984375,1.0078125
1741831524.827473,Wrist,A,0.0146484375,0.01708984375,1.00634765625
1741831524.8345344,Wrist,A,0.01611328125,0.01708984375,1.00634765625
1741831524.8505754,Wrist,A,0.015625,0.0166015625,1.01025390625
1741831524.8583598,Wrist,A,0.01806640625,0.01611328125,1.00634765625
1741831524.8653865,Wrist,A,0.01611328125,0.0166015625,1.00634765625
1741831524.8801162,Wrist,A,0.01611328125,0.0146484375,1.005859375
1741831524.887867,Wrist,A,0.015625,0.015625,1.005859375
1741831524.8949828,Wrist,A,0.015625,0.01953125,1.00390625
1741831524.9105031,Wrist,A,0.01513671875,0.01708984375,1.00341796875
1741831524.9177167,Wrist,A,0.015625,0.017578125,1.00537109375
1741831524.9251568,Wrist,A,0.015625,0.01953125,1.0087890625
1741831524.9403965,Wrist,A,0.017578125,0.015625,1.00927734375
1741831524.9476206,Wrist,A,0.017578125,0.01904296875,1.005859375
1741831524.9556198,Wrist,A,0.0166015625,0.0166015625,1.00830078125
1741831524.9707565,Wrist,A,0.01611328125,0.017578125,1.00537109375
1741831524.977811,Wrist,A,0.01708984375,0.01806640625,1.0068359375
1741831524.985127,Wrist,A,0.01611328125,0.01611328125,1.0078125
1741831524.9926362,Wrist,A,0.01611328125,0.0166015625,1.0078125
1741831525.0006378,Wrist,A,0.015625,0.0185546875,1.00732421875
1741831525.0086384,Wrist,A,0.015625,0.01806640625,1.00634765625
1741831525.0225794,Wrist,A,0.017578125,0.015625,1.00439453125
1741831525.0306063,Wrist,A,0.01708984375,0.015625,1.0048828125
1741831525.0385315,Wrist,A,0.0166015625,0.017578125,1.0078125
1741831525.0529552,Wrist,A,0.01611328125,0.017578125,1.0087890625
1741831525.0599608,Wrist,A,0.01611328125,0.017578125,1.0068359375
